Registration Number,Animal Name,Birth Date,Sex,BW EPD,WW EPD,YW EPD,MAT EPD,SC EPD,Carcass Weight,REA EPD,MARB EPD,FAT EPD,TEND EPD,Doc EPD,CED EPD,CEM EPD,FS EPD,ADG EPD,DOC REV,Index
989376,MR. V8 421/8,43198,Bull,1.9,29.1,50,3.8,-0.02,32,0.47,-7.47,0,-0.07,7.6,0.49,0.17,0.06,0.130625,4.883313225,
989377,MR. V8 424/8,43200,Bull,0.1,41.6,59.7,9.1,-0.64,33,0.63,-4.42,0.02,-0.15,5.82,3.56,-0.69,0.05,0.113125,5.775916462,
989378,MR. V8 439/8,43211,Bull,0.8,27.6,41.5,6.4,-0.13,34,0.42,-1.99,0.04,0.05,1.47,2.63,-0.13,0.14,0.086875,8.705442408,
989379,MR. V8 448/8,43217,Bull,1,6.8,16.4,8.9,0.34,7,0.08,-8.46,-0.01,-0.16,4.11,0.77,0.17,0.17,0.06,6.786722978,
989380,MR. V8 456/8,43228,Bull,2.5,39,59.6,4.7,-0.59,49,0.82,7.11,0.03,0.05,3.07,0.05,-0.37,0.16,0.12875,7.486124999,
989381,MR. V8 457/8,43229,Bull,1.5,31.3,49.3,4.8,-0.59,49,0.82,7.11,0.03,0.05,3.07,1.42,-0.36,0.16,0.1125,7.486124999,
989382,MR. V8 458/8 (S),43229,Bull,3,25,44.2,7.6,0.1,30,0.35,-10.1,0.01,0,-0.6,-1.58,0.16,0.11,0.12,10.58218049,
989383,MR. V8 467/8,43233,Bull,4.4,45.9,67,5.1,0.02,42,0.72,-0.98,0.02,0.04,-1.47,-3.03,-0.5,0.21,0.131875,11.48706698,
989384,MR. V8 480/8,43242,Bull,1.7,23.5,39.1,6.1,-0.13,43,0.53,0.84,0,0.01,0.03,1.67,0.32,-0.01,0.0975,9.971746784,
989385,MR. V8 488/8,43253,Bull,2.6,26.3,43.4,12.3,0.23,13,0.25,-7.6,-0.02,-0.06,3.2,-2.08,-1.09,0.13,0.106875,7.394902553,
989386,MR. V8 493/8,43261,Bull,0.1,12.7,16.1,4.2,-0.25,22,0.45,0.64,0.01,0.07,2.07,2.98,-0.06,0.07,0.02125,8.226510988,
989387,MR. V8 495/8 (P),43264,Bull,1.5,15.2,30,9.9,0.23,14,0.28,-8.69,-0.02,-0.02,0.68,-0.28,-0.28,0.13,0.0925,9.378818832,
P970791,MR. V8 246/8,43004,Bull,4,28.7,48.8,5.3,-0.24,37,0.51,-8.89,0,-0.01,-2.31,-3.16,-1.03,0.18,0.125625,12.4341008,
P977955,MR. V8 211/8,42893,Bull,3.2,29.1,47.8,4.9,-0.06,32,0.5,-0.05,0.02,0,-0.45,-0.52,-0.04,0.25,0.116875,10.43353251,
